Corporate Name,Corporation Number,Business Number
Sussex Agricultural Co-operative 1841 Ltd.,1570592-4,105096861RC0001
NGMF Toronto Project 2 Co-Op,1570703-0,797565025RC0001
6996 Carbon Offset Aggregation Cooperative,812608-9,810399287RC0001
FIRST STEP-AF.A. Financial COOP.,764601-1,837753805RC0001
SOCIÉTÉ COOPÉRATIVE DE TRAVAILLEURS AGRICOLE BATALIMON À BUT NON LUCRATIF,1601536-1,786916767RC0001
A Global Peace Endeavor Cooperative,1601602-2,772420626RC0001
ABCLife united Association,751018-7,703955682
COMMUNITY ADVISORY + ACTION WORKER CO-OP,1601520-4,784996027RC0001
Omnia Adjusters Cooperative,755713-2,747802494RC0001
Coopérative Aequitas Essences Corp.,822546-0,839853538RC0001
Coopérative de Solidarité Les Affranchis,1675416-3,722439221RC0001
Afripride Women Co-op,1570821-4,749594156RC0001
Marché International Canada-Afrique Coop,1372782-3,739798809RC0001
The Agency for Co-operative Housing -,425190-3,855215679RC0001
Eabametoong Agricultural Co-Operative,1161221-2,762098671RC0001
Neskantaga Agricultural Co-Operative,1161226-3,761567734RC0001
Nibinamik Agricultural Co-Operative,1161230-1,762097673RC0001
Webequie Agricultural Co-Operative,1161234-4,762097871RC0001
AGRIFOODS INTERNATIONAL COOPERATIVE LTD.,433247-4,895746840RC0002
AGROPUR COOPERATIVE,382700-3,100086263RC0001
The Atlantic Immigrant Retention Cooperative/Coopérative de rétention des immigrants de l'Atlantique (AIRCO-CORIA),1502999-6,Not Available
Al Ehsaan Residential Cooperative,1340585-1,749498408RC0001
Coopérative Aliments Farmhouse Food Cooperative INC.,1187255-9,734662471RC0001
ALL NATIONS MULTI-PURPOSE COOPERATIVE,751317-8,Not Available
Métis Alliance of Canada Cooperative,1182026-5,748895539RC0001
Allied Community & Cooperative Shared Services,1334702-8,749183901RC0001
AN-NUR Co-operative Corporation Ltd.,412256-9,862845427RC0001
Co-operatives and Mutuals Canada,855184-7,827059239RC0001
WOSODEV UNITED (WORLD SOLIDARITY AND DEVELOPMENT),1150954-3,770755734
Web and Flow Worker Cooperative,1473373-8,758779011RC0001
Coop Ankhba Santé et loisirs,1675728-6,771827565RC0001
Coopérative Apex,1601946-3,792322364RC0001
ARCTIC CO-OPERATIVE DEVELOPMENT FUND,204262-2,103961439RC0001
CANADIAN JEWELLERY GROUP CO-OPERATIVE ASSOCIATION,164696-6,124088659RC0001
Canadian Credit Union Association Cooperative,873506-9,799451497RC0001
ATLANTIC CO-OPERATIVE PUBLISHERS LIMITED,012839-2,100324094RC0001
ATLANTIC CO-OPERATIVE COUNTRY STORES,381368-1,864329560RC0001
Atlantic Retail Co-Operatives Federation,446558-0,101136299RC0002
Knowledge Atlas Co-op Inc.,784631-2,801018607RC0001
Coop-Électro SOMAC ( Coop-Électronic De Société Des Maliens Au Canada),1570825-7,745572552RC0001
Coopérative de travailleurs La Baigneuse,1340660-1,751647702RC0001
Baker Tilly Canada Cooperative,416311-7,885311704RC0001
BANGLADESHI-CANADIAN COOPERATIVE (BCC) INC.,410521-4,861127843RC0001
LA PARENTE: RESTAURANT-BAR COOP,063941-9,Not Available
Barakah Green Cooperative Inc.,1187313-0,721397677RC0001
Fietser Bikeshare Cooperative,1443932-5,742886740RC0001
BISMILLAH COOPERATIVE,751020-9,706471919
BWPW - Black Women Professional Worker Co-op,1298461-0,773323100RC0001
BLUE FIN COOPERATIVE GROUP,1425669-7,769873019
"""COOPERATIVE DES PRODUCTEURS DE SIROP D'ERABLE DU NOUVEAU BRUNSWICK INC.""",238106-1,122461023RC0001
Buffomilk dairy co-op,1125239-9,795498872
Cooperative familiale d'habitation sans but lucratif Grand Maman Louise,750556-6,Not Available
Coopérative internationale de contacts et de connexions (C.I.C.CO),1150944-6,765616933
Coopérative de câblodistribution Hill Valley,1179454-0,747302677RC0001
UNITED CHICKEN CANADA COOPERATIVE INC.,383082-9,891011611RC0001
CANADA PERSIA COOP,455575-9,Not Available
Coopérative Makiga Canada,848903-3,Not Available
Health Care Co-operatives Federation of Canada,787950-4,805839719RC0001
Fairbnb Canada Worker Co-operative,1463201-0,734339542
Community Energy Cooperative Canada,1570685-8,711662411RC0001
Lichen Community Systems Worker Cooperative Canada,1644626-4,723332755RC0001
Co-operative Housing Federation of Canada -,328683-5,887473148RC0001
CNL Canada Multipurpose Cooperative,1706572-8,760113761RC0001
"CANADIAN CO-OPERATIVE WOOL GROWERS, LIMITED",010481-7,121388045RC0001
Canadian Community Investment Network Cooperative,429547-1,840082879RC0001
Canadian Music Educators Cooperative,431409-3,829998541RC0001
CANADIAN WORKER COOPERATIVE FEDERATION,272732-3,889181053RC0001
Canadian Owner-Operators' Cooperative,283639-4,133445908RC0001
CANADIAN THERAPEUTIC CANNABIS COOPERATIVE,759931-5,853445914RC0001
Canadian Music Retailers Cooperative,767224-1,839393808RC0001
Federation of Canadian Carsharing Co-operatives,793687-7,842148082RC0001
CANADIAN LAMB PRODUCERS COOPERATIVE INC.,822162-6,820613974RC0001
Canadian Professional Construction Divers Co-op,1307287-8,782111207RC0001
Canadian Veterans Cannabis Cooperative,1548306-9,720519412RC0001
Fonds canadien d'investissement coopératif,751767-0,766146328RC0001
Leadwood Canafri Co-op,1235759-3,772578944RC0001
Canpro Decorating Products Cooperative,455579-1,Not Available
Caravan Web Worker Cooperative Inc.,812769-7,815966304RC0001
FIRST FILIPINO CAREGIVERS COOPERATIVE,452506-0,853674265RC0001
Coop de Travail Carpe Diem,400962-2,856104732RC0001
CDQ CO-OP LTD.,294779-0,896207271RC0001
Centre coopératif International,750473-0,Not Available
Centre Éducatif et Communautaire Coop Franco-Ontarien,755715-9,Not Available
Life Matters Learning Centre Cooperative Limited,1161191-7,766439079
REGIONAL CO-OPERATIVE DEVELOPMENT CENTRE,334530-1,886736651RC0001
Cernio Technology Cooperative,455084-6,823562061RC0001
Civica Communications Worker Co-operative Inc.,442610-0,848740957RC0001
FEDERATED CO-OPERATIVES LIMITED,082854-8,101755007RC0001
CONSUMERS' CO-OPERATIVE REFINERIES LIMITED,082855-6,101126431RC0001
The Co-operators Group Limited,093171-3,105205371RC0001
KWP WOOD WORKER CO-OP,389802-4,884693318RC0001
MODERN SALES CO-OP,391978-1,864820022RC0001
Co-operative Management Education Co-operative,393638-4,863077814RC0001
WWW.TECH.COOP SERVICES CO-OPERATIVE,421615-6,861530608RC0001
Indigenous Co-operative on the Environment Inc.,429004-6,863262291RC0001
Co-op Ventures Worker Co-op,431127-2,828095141RC0001
Free Range Worker Co-operative,436035-4,858618127RC0001
LILY HERCHMER CO-OPERATIVE INC.,443660-1,846770352RC0001
CoopZone Developers' Network Co-operative,452676-7,853673861RC0001
The Community Housing Management Network Co-operative,454204-5,834262065RC0001
Co-operative La Samaritaine,454780-2,825229461RC0001
Community Share Ventures Co-operative (CSVC),854863-3,Not Available
Mountain RV Co-op,882610-2,Not Available
PEOPLE'S EDUCATION NETWORK (Co-op) Ltd.,897283-4,Not Available
Patient Critical Co-op,750553-1,Not Available
NextGen Muslim Fulfilment Co-Operative,750561-2,705486488
Coopérative SIKU Co-operative,786277-6,805841517RC0001
IMPACT Co-operative Diagnostic Services Ltd.,813233-0,848522447RC0001
Local Driver Federation Co-operative,1161325-1,799289301RC0001
Kafan Co-op,1171027-3,760000679RC0001
WEED POOL PROCESSING CO-OPERATIVE,1187275-3,701568073RC0001
Direct Co-operative,1272073-6,791676208RC0001
FCL SUPPORT SERVICES CO-OPERATIVE,1473362-2,751858812RC0001
Neurodivergent Futures Co-op,1548345-0,707128013RC0001
Synchronous ERP Co-op,1548349-2,Not Available
Whole Women Network Worker Co-op,1570656-4,762846558RC0001
Uganda Non-Profit Housing Co-operative,1601513-1,783154222RC0001
Expertise Hub Co-operative,1601526-3,742424559RC0001
WISDOMINDS CO-OPERATIVE INC.,1640637-8,744994427RC0001
Nourish Food Security Co-op,1644619-1,760415620RC0001
Rocket Ship Health Co-operative,1675783-9,758633762RC0001
Malayalee Farmers Co-operative Ltd.,1675830-4,791734437RC0001
New Feeling Co-op,1716660-5,731224762RC0001
Ecosystem Collective Cooperative,751019-5,Not Available
Common wall Investors worker cooperative,1706665-1,786692236
Prairie Community Newspaper Publishers Cooperative,1187277-0,733258933RC0001
CONGO SOURCE POOL,1372834-0,717084503RC0001
Connexion Franco Coop,1131679-6,792744138
Coopérative de travail constructions Promtal,882786-9,802401042RC0001
Western Labour-Worker Coop Council,454171-5,835803651RC0001
Toastzr Inter Coop. Coopérative de solidarité.,882598-0,821576121RC0001
COOP DE TRAVAIL DE L'ENSEIGNEMENT DES LANGUES (COOPTEL),897260-5,809451792RC0001
Mile End Guitar Coop,751318-6,764803086RC0001
FIL COOP,755702-7,Not Available
IMVULA COOP.,1222697-9,700995475RC0001
Groupe Kinatex COOP,1706620-1,775990039RC0001
COOPERATIVE DE TELEVISION DE L'OUTAOUAIS,038174-8,880938279RC0001
Interprovincial Cooperative Limited,046442-2,102516317RC0001
Coopérative Radio Ville-Marie Outaouais,375040-0,866775042RC0001
UNITED RETAIL DISTRIBUTORS COOPERATIVE INC.,410015-8,864242482RC0001
DUNGA COOPERATIVE INC.,417774-6,878368703RC0001
COOPÉRATIVE RWANDA HOUSE INC.,433199-1,812564078RC0001
The Dominion Newspaper Cooperative,441931-6,849458195RC0001
Facilitating Inclusion Cooperative Inc.,446938-1,813369212RC0001
Infrastructure. Net Management Software Cooperative,450063-6,812721496RC0001
LocalTown National Cooperative Inc.,452375-0,858915655RC0001
Coopérative de services partagés des RDÉE,897175-7,742475304RC0001
ENT NATIONAL COOPERATIVE INCORPORATED,897192-7,717753925RC0001
COOPERATIVE LUGHAYA SEAFOOD,897259-1,Not Available
Ontario Wanderers League Cooperative,750560-4,729520478RC0001
Exceldor cooperative,767529-1,139980551RC0001
People Power Forward Cooperative,1161297-2,762027142RC0001
Likeminds Multipurpose Cooperative Society,1161342-1,799914502RC0001
PCIF DEVELOPMENT COOPERATIVE INC.,1161354-5,769624065RC0001
NorthernNations Cooperative,1170946-1,760621870RC0001
GREAT PARENTING SIMPLIFIED NONPROFIT COOPERATIVE,1222708-8,705418275RC0001
Radish Cooperative,1222712-6,707526935RC0001
High Tech Emporium Cooperative,1235763-1,766737662RC0001
Coopérative Les Sans-Desseins,1235767-4,792179004RC0001
York Non-Profit Housing Society Cooperative,1298495-4,790972103RC0001
Damage Studios Cooperative,1307343-2,767922305RC0001
Sustainability Solutions Group Workers Cooperative,1471986-7,874067507
SAUGEEN SHORES TELECOM COOPERATIVE LTD.,1473386-0,793744954RC0001
Lighthouse Paradigm Developments Cooperative,1548340-9,706363017RC0001
Demos Partners Cooperative,1570684-0,787188424RC0001
Ferme coopérative Roots,1570795-1,701134611RC0001
Solidarity In Numbers Cooperative,1570900-8,786558429RC0001
RPWC Resource Pool Worker Cooperative,1601940-4,729388157RC0001
Green Cowry Cooperative,1601941-2,729887554RC0001
MOJA UPENDO - ONE LOVE NON PROFIT HOUSING COOPERATIVE INC.,1636786-1,746182823RC0001
Travel-ING On Tourism Cooperative,1644542-0,725643951RC0001
COOPÉRATIVE KOUZINS INCORPORÉE,830554-4,767729486RC0001
Terraforged Cooperative,1716603-6,771403433RC0001
The Grand River Investment Rosca Cooperative,1716611-7,766533434RC0001
Éconocoop,1187290-7,714559937RC0001
RENEWCO-OP,426534-3,863761185RC0001
Pallada United,822835-3,Not Available
